ID,Timestamp,Numer_Wyciagu,ID_Karty
1,2024-12-27 08:02:01,6,87710
2,2024-12-27 08:07:02,3,83967
3,2024-12-27 08:11:22,10,78842
4,2024-12-27 08:11:26,8,80607
5,2024-12-27 08:17:02,3,83967
6,2024-12-27 08:22:16,6,87710
7,2024-12-27 08:27:02,3,83967
8,2024-12-27 08:28:16,3,20699
9,2024-12-27 08:29:11,8,80607
10,2024-12-27 08:36:22,10,78842
11,2024-12-27 08:37:02,3,83967
12,2024-12-27 08:38:16,2,20699
13,2024-12-27 08:39:07,9,48859
14,2024-12-27 08:39:44,7,70717
15,2024-12-27 08:41:21,3,26538
16,2024-12-27 08:42:31,6,87710
17,2024-12-27 08:43:13,8,14899
18,2024-12-27 08:43:40,1,62561
19,2024-12-27 08:46:56,8,80607
20,2024-12-27 08:47:02,3,83967
21,2024-12-27 08:49:03,4,85774
22,2024-12-27 08:50:07,9,48859
23,2024-12-27 08:50:14,7,70717
24,2024-12-27 08:51:21,3,26538
25,2024-12-27 08:54:10,1,62561
26,2024-12-27 08:54:19,4,13342
27,2024-12-27 08:55:34,1,48510
28,2024-12-27 08:55:46,2,20699
29,2024-12-27 08:57:02,3,83967
30,2024-12-27 08:57:05,6,83507
31,2024-12-27 09:00:44,7,70717
32,2024-12-27 09:00:58,8,14899
33,2024-12-27 09:01:07,9,48859
34,2024-12-27 09:01:21,3,26538
35,2024-12-27 09:01:22,10,78842
36,2024-12-27 09:02:46,6,87710
37,2024-12-27 09:04:40,1,62561
38,2024-12-27 09:04:41,8,80607
39,2024-12-27 09:06:04,5,48510
40,2024-12-27 09:06:18,6,85774
41,2024-12-27 09:07:02,3,83967
42,2024-12-27 09:11:14,7,70717
43,2024-12-27 09:11:21,3,26538
44,2024-12-27 09:11:34,4,13342
45,2024-12-27 09:12:07,9,48859
46,2024-12-27 09:13:16,2,20699
47,2024-12-27 09:13:20,4,39268
48,2024-12-27 09:15:10,7,62561
49,2024-12-27 09:17:02,3,83967
50,2024-12-27 09:17:20,6,83507
51,2024-12-27 09:18:43,8,14899
52,2024-12-27 09:18:49,1,52046
53,2024-12-27 09:21:21,3,26538
54,2024-12-27 09:21:44,7,70717
55,2024-12-27 09:22:26,8,80607
56,2024-12-27 09:22:44,7,50183
57,2024-12-27 09:23:01,6,87710
58,2024-12-27 09:23:07,9,48859
59,2024-12-27 09:25:40,7,62561
60,2024-12-27 09:26:22,10,78842
61,2024-12-27 09:26:33,7,85774
62,2024-12-27 09:27:02,3,83967
63,2024-12-27 09:28:49,4,13342
64,2024-12-27 09:29:04,5,48510
65,2024-12-27 09:29:19,1,52046
66,2024-12-27 09:30:35,4,39268
67,2024-12-27 09:30:46,1,20699
68,2024-12-27 09:31:21,3,26538
69,2024-12-27 09:32:14,10,70717
70,2024-12-27 09:33:14,7,50183
71,2024-12-27 09:34:07,9,48859
72,2024-12-27 09:36:10,7,62561
73,2024-12-27 09:36:28,8,14899
74,2024-12-27 09:37:02,10,83967
75,2024-12-27 09:37:03,7,85774
76,2024-12-27 09:37:05,7,83539
77,2024-12-27 09:37:35,10,83507
78,2024-12-27 09:39:49,1,52046
79,2024-12-27 09:40:11,8,80607
80,2024-12-27 09:41:16,1,20699
81,2024-12-27 09:41:21,3,26538
82,2024-12-27 09:43:16,6,87710
83,2024-12-27 09:43:44,7,50183
84,2024-12-27 09:43:52,9,59030
85,2024-12-27 09:45:07,9,48859
86,2024-12-27 09:46:04,4,13342
87,2024-12-27 09:46:40,7,62561
88,2024-12-27 09:47:33,7,85774
89,2024-12-27 09:47:35,3,83539
90,2024-12-27 09:47:50,4,39268
91,2024-12-27 09:50:19,1,52046
92,2024-12-27 09:51:21,3,26538
93,2024-12-27 09:51:22,10,78842
94,2024-12-27 09:51:35,2,64525
95,2024-12-27 09:51:46,1,20699
96,2024-12-27 09:52:04,5,48510
97,2024-12-27 09:52:51,5,27244
98,2024-12-27 09:53:35,3,10813
99,2024-12-27 09:54:13,8,14899
100,2024-12-27 09:54:14,10,50183
101,2024-12-27 09:54:52,9,59030
102,2024-12-27 09:56:07,9,48859
103,2024-12-27 09:57:10,7,62561
104,2024-12-27 09:57:14,10,70717
105,2024-12-27 09:57:32,1,75670
106,2024-12-27 09:57:35,3,83539
107,2024-12-27 09:57:56,8,80607
108,2024-12-27 09:58:03,7,85774
109,2024-12-27 09:58:48,8,57144
110,2024-12-27 09:59:49,2,70624
111,2024-12-27 10:00:49,1,52046
112,2024-12-27 10:01:21,3,26538
113,2024-12-27 10:01:42,10,45648
114,2024-12-27 10:02:16,1,20699
115,2024-12-27 10:02:35,10,83507
116,2024-12-27 10:03:19,4,13342
117,2024-12-27 10:03:31,2,87710
118,2024-12-27 10:03:35,3,10813
119,2024-12-27 10:05:05,4,39268
120,2024-12-27 10:05:52,9,59030
121,2024-12-27 10:07:07,9,48859
122,2024-12-27 10:07:35,3,83539
123,2024-12-27 10:07:40,7,62561
124,2024-12-27 10:08:02,1,75670
125,2024-12-27 10:08:33,7,85774
126,2024-12-27 10:09:05,2,64525
127,2024-12-27 10:11:19,1,52046
128,2024-12-27 10:11:21,8,26538
129,2024-12-27 10:11:58,8,14899
130,2024-12-27 10:12:46,1,20699
131,2024-12-27 10:13:35,3,10813
132,2024-12-27 10:15:04,5,48510
133,2024-12-27 10:15:41,8,80607
134,2024-12-27 10:15:51,1,27244
135,2024-12-27 10:16:22,10,78842
136,2024-12-27 10:16:33,8,57144
137,2024-12-27 10:16:52,9,59030
138,2024-12-27 10:17:19,7,70624
139,2024-12-27 10:17:35,3,83539
140,2024-12-27 10:18:07,9,48859
141,2024-12-27 10:18:10,7,62561
142,2024-12-27 10:18:32,1,75670
143,2024-12-27 10:19:03,7,85774
144,2024-12-27 10:19:14,10,50183
145,2024-12-27 10:19:57,6,13799
146,2024-12-27 10:20:34,4,13342
147,2024-12-27 10:21:01,2,87710
148,2024-12-27 10:21:26,9,68681
149,2024-12-27 10:21:49,1,52046
150,2024-12-27 10:22:14,10,70717
151,2024-12-27 10:22:20,4,39268
152,2024-12-27 10:23:16,1,20699
153,2024-12-27 10:23:35,8,10813
154,2024-12-27 10:24:20,5,76271
155,2024-12-27 10:25:17,2,58351
156,2024-12-27 10:26:21,1,27244
157,2024-12-27 10:26:35,2,64525
158,2024-12-27 10:26:42,10,45648
159,2024-12-27 10:27:35,3,83539
160,2024-12-27 10:27:35,3,83507
161,2024-12-27 10:27:49,7,70624
162,2024-12-27 10:27:52,9,59030
163,2024-12-27 10:29:02,1,75670
164,2024-12-27 10:29:33,7,85774
165,2024-12-27 10:29:43,8,14899
166,2024-12-27 10:32:19,1,52046
167,2024-12-27 10:32:26,9,68681
